lobbying_firm,lobbied_client,lobbyist,former_role,current_committee_members,attack_press_releases,committee_members_attacking,income
"BROWNSTEIN HYATT FARBER SCHRECK, LLP",APOLLO GLOBAL MANAGEMENT,RUSSELL SULLIVAN,"Staff Director, Senate Finance Committee; Chief Counsel, Senate Finance Committee; Leg. Director, Sen. Bob Graham",53,11,2,1260000.0
"BROWNSTEIN HYATT FARBER SCHRECK, LLP",APOLLO GLOBAL MANAGEMENT,RUSSELL SULLIVAN,"Staff Director, Senate Finance Committee; Chief Counsel, Senate FinanceCommittee; Leg. Director, Sen. Bob Graham",53,11,2,1260000.0
"BROWNSTEIN HYATT FARBER SCHRECK, LLP",APOLLO GLOBAL MANAGEMENT,RUSSELL SULLIVAN,"Staff Director, Senate Finance Committee; Chief Counsel, Senate FinanceCommittee; Leg. Director, Sen. Bob Graham",53,11,2,1260000.0
"BROWNSTEIN HYATT FARBER SCHRECK, LLP",APOLLO GLOBAL MANAGEMENT,RUSSELL SULLIVAN,"Staff Director, Senate Finance Committee; Chief Counsel, Senate Finance Committee; Leg. Director, Sen. Bob Graham",53,11,2,1260000.0
"BROWNSTEIN HYATT FARBER SCHRECK, LLP",APOLLO GLOBAL MANAGEMENT,MARK WARREN,"ChfTaxCounsel, Sen Fin Comm; SrTaxCounsel, Sen Thune; TaxCounsel, Hs W&M Comm; DepAsstSec, Dept of Treas, Leg Affairs; ChfCounsel, Sen Repub Policy Comm; StaffDir and ChfCounsel, Sen Small Bus Comm; TaxAndFinanceCounsel, Sen Small Bus Comm",53,11,2,1260000.0
"BROWNSTEIN HYATT FARBER SCHRECK, LLP",APOLLO GLOBAL MANAGEMENT,RUSSELL SULLIVAN,"Staff Director, Senate Finance Committee",53,11,2,1260000.0
"BROWNSTEIN HYATT FARBER SCHRECK, LLP",APOLLO GLOBAL MANAGEMENT,MARK WARREN,"Chf TaxCounsel, Sen Fin Comm; Sr Tax Counsel, Sen Thune; Tax Counsel, Hs W&M Comm; Dep Asst Sec, Dept of Treas, Leg Affairs; Chf Counsel,Sen Repub Policy Comm; Staff Dir and Chf Counsel, Sen Small Bus Comm; Tax And Finance Counsel, Sen Small Bus Comm",53,11,2,1260000.0
"BROWNSTEIN HYATT FARBER SCHRECK, LLP",APOLLO GLOBAL MANAGEMENT,MARK WARREN,"Chf Tax Counsel, Sen Fin Comm; Sr Tax Counsel, Sen Thune; Tax Counsel, Hs W&M Comm; Dep Asst Sec, Dept of Treas, Leg Affairs; Chf Counsel, Sen Repub Policy Comm; Staff Dir and Chf Counsel, Sen Small Bus Comm; Tax & Finance Counsel, Sen Small Bus Comm",53,11,2,1260000.0
"BROWNSTEIN HYATT FARBER SCHRECK, LLP",APOLLO GLOBAL MANAGEMENT,MARK WARREN,"Chf Tax Counsel, Sen Fin Comm; Sr Tax Counsel, Sen Thune; Tax Counsel, Hs W&M Comm; Dep Asst Sec, Dept of Treas, Leg Affairs; Chf Counsel, Sen Repub Policy Comm; Staff Dir and Chf Counsel, Sen Small Bus Comm; Tax & Finance Counsel, Sen Small Bus Comm",53,11,2,1260000.0
"BROWNSTEIN HYATT FARBER SCHRECK, LLP",APOLLO GLOBAL MANAGEMENT,MARK WARREN,"Chf Tax Counsel, Sen Fin Comm; Sr Tax Counsel, Sen Thune; Tax Counsel, Hs W&M Comm; Dep Asst Sec, Dept of Treas, Leg Affairs; Chf Counsel, Sen Repub Policy Comm; Staff Dir and Chf Counsel, Sen Small Bus Comm; TaxAndFinance Counsel, Sen Small Bus Comm",53,11,2,1260000.0
"BROWNSTEIN HYATT FARBER SCHRECK, LLP",APOLLO GLOBAL MANAGEMENT,RUSSELL SULLIVAN,"Staff Director, Senate Finance Committee",53,11,2,1260000.0
