registrant_id,registrant_name,quarterly_filings_with_null_income,distinct_clients,first_seen,last_seen
401103955,DOWNS GOVERNMENT AFFAIRS,829,58,2022-first_quarter,2026-first_quarter
400275281,"LIBERTY PARTNERS GROUP, LLC",708,73,2022-first_quarter,2026-first_quarter
285255,STRATEGIC HEALTH CARE,604,43,2022-first_quarter,2026-first_quarter
75570,J M BURKMAN & ASSOCIATES,389,85,2022-first_quarter,2026-first_quarter
17352,"HALL, RENDER, KILLIAN, HEATH & LYMAN, P.C.",325,34,2022-first_quarter,2026-first_quarter
400620885,"POBLETE TAMARGO, LLP",318,23,2022-first_quarter,2026-first_quarter
308811,LNE GROUP,269,69,2022-first_quarter,2026-first_quarter
17818,"HEALTH AND MEDICINE COUNSEL, LLC",236,25,2022-first_quarter,2025-third_quarter
401106020,LARKIN HOFFMAN,222,21,2022-first_quarter,2026-first_quarter
14451,"THE FERGUSON GROUP, LLC",213,37,2022-first_quarter,2026-first_quarter
75557,"CORNERSTONE GOVERNMENT AFFAIRS, INC.",211,50,2022-first_quarter,2026-first_quarter
22883,FBB FEDERAL RELATIONS,199,22,2022-first_quarter,2026-first_quarter
400487397,LOBBYIT.COM,189,29,2022-first_quarter,2026-first_quarter
401103573,FORESIGHT LAW + POLICY PLLC,182,17,2022-first_quarter,2026-first_quarter
7268,BROYDRICK & ASSOCIATES,181,33,2022-first_quarter,2026-first_quarter
323136,G2G CONSULTING,177,36,2022-first_quarter,2026-first_quarter
297294,BOSE PUBLIC AFFAIRS GROUP,173,22,2022-first_quarter,2026-first_quarter
18466,HOLLAND & KNIGHT LLP,168,67,2022-first_quarter,2026-first_quarter
32008,"POWERS PYLES SUTTER & VERVILLE, P.C.",165,25,2022-first_quarter,2026-first_quarter
66773,"THE CORMAC GROUP, LLC",159,27,2022-first_quarter,2026-first_quarter
33454,"ROBERTSON, MONAGLE, & EASTAUGH LLC (FKA ROBERTSON, MONAGLE & EASTAUGH PC)",157,15,2022-first_quarter,2026-first_quarter
39815,"VAN NESS FELDMAN, LLP",156,24,2022-first_quarter,2026-first_quarter
401104071,NEW CENTURY GOVERNMENT AFFAIRS (F/K/A TERRENCE C. WOLFE),156,17,2022-first_quarter,2026-first_quarter
23634,MANATOS & MANATOS,156,16,2022-first_quarter,2026-first_quarter
401103619,"WARWICK GROUP CONSULTANTS, LLC",155,12,2022-first_quarter,2026-first_quarter
401104734,THE VOGEL GROUP,154,48,2022-first_quarter,2026-first_quarter
32098,"K&L GATES, LLP",153,82,2022-first_quarter,2026-first_quarter
401104340,"GOVERNMENT RELATIONS GROUP, LLC",153,35,2022-first_quarter,2026-first_quarter
35230,SIDLEY AUSTIN LLP,152,35,2022-first_quarter,2026-first_quarter
400568701,"DININO ASSOCIATES, LLC",152,26,2022-first_quarter,2026-first_quarter
7257,"BROWNSTEIN HYATT FARBER SCHRECK, LLP",145,76,2022-first_quarter,2026-first_quarter
65976,"CAPITOL TAX PARTNERS, LLP",145,17,2022-first_quarter,2026-first_quarter
11674,DAVIS & HARMAN LLP,144,24,2022-first_quarter,2026-first_quarter
401006842,"WINN STRATEGIES, LLC",142,12,2022-first_quarter,2025-third_quarter
23645,"MANATT, PHELPS, AND PHILLIPS",140,22,2022-first_quarter,2026-first_quarter
