filing_uuid,filing_year,filing_period,registrant_name,client_name,client_country,client_ppb_country,foreign_entity_name,foreign_entity_country,foreign_entity_ppb,income,url
999a3638-9f38-4a54-8749-16347ee3bd4c,2023,first_quarter,TRIBUTARY LLP,CHRO ASSOCIATION (FKA HR POLICY ASSOCIATION),US,US,MCCAIN FOODS,CA,CA,990000.0,https://lda.senate.gov/api/v1/filings/999a3638-9f38-4a54-8749-16347ee3bd4c/?format=json
f2937ea3-9a1f-4cf4-a598-c53112ba87fc,2023,second_quarter,TRIBUTARY LLP,CHRO ASSOCIATION (FKA HR POLICY ASSOCIATION),US,US,APTIV,US,US,990000.0,https://lda.senate.gov/api/v1/filings/f2937ea3-9a1f-4cf4-a598-c53112ba87fc/?format=json
f2937ea3-9a1f-4cf4-a598-c53112ba87fc,2023,second_quarter,TRIBUTARY LLP,CHRO ASSOCIATION (FKA HR POLICY ASSOCIATION),US,US,BRINK'S CORPORATION,US,US,990000.0,https://lda.senate.gov/api/v1/filings/f2937ea3-9a1f-4cf4-a598-c53112ba87fc/?format=json
bb25f921-60d8-4d65-bfee-13d83d7e6d19,2023,first_quarter,TRIBUTARY LLP,CHRO ASSOCIATION (FKA HR POLICY ASSOCIATION),US,US,GLOBAL FOUNDRIES,US,US,990000.0,https://lda.senate.gov/api/v1/filings/bb25f921-60d8-4d65-bfee-13d83d7e6d19/?format=json
999a3638-9f38-4a54-8749-16347ee3bd4c,2023,first_quarter,TRIBUTARY LLP,CHRO ASSOCIATION (FKA HR POLICY ASSOCIATION),US,US,GLOBAL FOUNDRIES,US,US,990000.0,https://lda.senate.gov/api/v1/filings/999a3638-9f38-4a54-8749-16347ee3bd4c/?format=json
81e55fbc-2e49-4c3a-8b88-bee5fc8769dc,2023,third_quarter,TRIBUTARY LLP,CHRO ASSOCIATION (FKA HR POLICY ASSOCIATION),US,US,WOLTERS KLUWER,US,US,990000.0,https://lda.senate.gov/api/v1/filings/81e55fbc-2e49-4c3a-8b88-bee5fc8769dc/?format=json
f2937ea3-9a1f-4cf4-a598-c53112ba87fc,2023,second_quarter,TRIBUTARY LLP,CHRO ASSOCIATION (FKA HR POLICY ASSOCIATION),US,US,FERGUSON ENTERPRISES LLC,US,US,990000.0,https://lda.senate.gov/api/v1/filings/f2937ea3-9a1f-4cf4-a598-c53112ba87fc/?format=json
f2937ea3-9a1f-4cf4-a598-c53112ba87fc,2023,second_quarter,TRIBUTARY LLP,CHRO ASSOCIATION (FKA HR POLICY ASSOCIATION),US,US,SITECORE,US,US,990000.0,https://lda.senate.gov/api/v1/filings/f2937ea3-9a1f-4cf4-a598-c53112ba87fc/?format=json
f2937ea3-9a1f-4cf4-a598-c53112ba87fc,2023,second_quarter,TRIBUTARY LLP,CHRO ASSOCIATION (FKA HR POLICY ASSOCIATION),US,US,MAGIC LEAP,US,US,990000.0,https://lda.senate.gov/api/v1/filings/f2937ea3-9a1f-4cf4-a598-c53112ba87fc/?format=json
bb25f921-60d8-4d65-bfee-13d83d7e6d19,2023,first_quarter,TRIBUTARY LLP,CHRO ASSOCIATION (FKA HR POLICY ASSOCIATION),US,US,MCCAIN FOODS,CA,CA,990000.0,https://lda.senate.gov/api/v1/filings/bb25f921-60d8-4d65-bfee-13d83d7e6d19/?format=json
