payee_name,honoree_name,n_contributions,total_amount,distinct_filings,distinct_contributors
NRSC,NRSC,1774,10960049.190000001,1106,229
DSCC,DSCC,1499,10369739.13,1104,216
SENATE MAJORITY PAC,Senate Majority PAC,41,9297873.24,27,6
DCCC,DCCC,1191,8754405.0,935,213
NRCC,NRCC,1406,8753734.15,837,204
HOUSE MAJORITY PAC,House Majority PAC,42,7670450.0,30,9
DEMOCRATIC SENATORIAL CAMPAIGN COMMITTEE,Democratic Senatorial Campaign Committee,803,6948072.92,632,132
"TRUMP VANCE INAUGURAL COMMITTEE, INC.","Trump Vance Inaugural Committee, Inc.",11,6900000.0,11,1
NATIONAL REPUBLICAN SENATORIAL COMMITTEE,National Republican Senatorial Committee,1360,6837406.85,760,136
SENATE MAJORITY PAC,SENATE MAJORITY PAC,21,5310250.0,8,4
THE RONALD REAGAN PRESIDENTIAL FOUNDATION AND INSTITUTE,The Ronald Reagan Presidential Foundation and Institute,15,5160000.0,10,1
CONGRESSIONAL BLACK CAUCUS FOUNDATION,Congressional Black Caucus Foundation,61,5147850.0,53,1
"TRUMP VANCE INAUGURAL COMMITTEE, INC. (BY AFFILIATED ORG PILGRIM'S PRIDE CORP.)",Donald Trump and J.D. Vance,1,5000000.0,1,1
THE BARAK OBAMA FOUNDATION,President Barak Obama,1,5000000.0,1,1
TRUMP VANCE INAUGURAL COMMITTEE,Trump Vance Inaugural Committee,7,4600000.0,7,1
NATIONAL REPUBLICAN CONGRESSIONAL COMMITTEE,National Republican Congressional Committee,689,4582629.33,445,122
DEMOCRATIC CONGRESSIONAL CAMPAIGN COMMITTEE,Democratic Congressional Campaign Committee,508,4198759.0,430,106
FF PAC,FF PAC,6,4150000.0,5,3
CONGRESSIONAL HISPANIC CAUCUS INSTITUTE,Members of the Congressional Hispanic Caucus,17,4045000.0,15,1
IN UNION USA,IN UNION USA,8,4030000.0,7,3
FOR OUR FUTURE,FOR OUR FUTURE,4,4000000.0,3,1
HOUSE MAJORITY PAC,HOUSE MAJORITY PAC,18,3960000.0,11,5
CONGRESSIONAL HISPANIC CAUCUS INSTITUTE,Congressional Hispanic Caucus Institute,65,3365000.0,51,1
THE BARACK OBAMA FOUNDATION,"Support of the My Brother's Keeper Alliance, a program of the Obama Foundation",1,3000000.0,1,1
"TRUMP VANCE INAUGURAL COMMITTEE, INC.",President-Elect Donald J. Trump and Vice President-Elect JD Vance,2,3000000.0,2,1
SPEAK UP PAC,SPEAK UP PAC,1,3000000.0,1,1
THE BARACK OBAMA FOUNDATION,"Support of the My BrotherEs Keeper Alliance, a program of the Obama Foundation",1,3000000.0,1,1
SENATE MAJORITY PAC (SMP),N/A,5,3000000.0,3,1
"TRUMP VANCE INAUGURAL COMMITTEE, INC.",President Donald J. Trump,3,2888893.52,3,1
HABITAT FOR HUMANITY INTERNATIONAL INC,Rep. Virginia Foxx,1,2650000.0,1,1
REPUBLICAN NATIONAL COMMITTEE,Republican National Committee,147,2616014.66,115,42
NEW DEMOCRAT COALITION ACTION FUND,New Democrat Coalition Action Fund,576,2521900.0,550,226
U.S. LIBRARY OF CONGRESS,Donation for the construction of the Capitol Visitor Center tunnel in the Thomas Jefferson Building (Congressional Crossroads).,1,2500000.0,1,1
TRUST FOR THE NATIONAL MALL,White House Ballroom Project,1,2500000.0,1,1
CONGRESSIONAL BLACK CAUCUS PAC,Congressional Black Caucus PAC,655,2426594.8800000004,571,213
SMP,SMP,6,2365000.0,5,4
"TRUMP VANCE INAUGURAL COMMITTEE, INC.",Donald J. Trump and JD Vance,4,2250000.0,4,1
HOUSE MAJORITY PAC (HMP),N/A,6,2100000.0,3,1
HOUSE MAJORITY PAC,House Democratic Candidates and Members,3,2025000.0,2,2
CONGRESSIONAL BLACK CAUCUS FOUNDATION INC.,Members of the Congressional Black Caucus,6,2015000.0,3,1
"TRUMP VANCE INAUGURAL COMMITTEE, INC",Donald J. Trump,2,2000000.0,2,1
TRUMP VANCE INAUGURAL COMMITTEE,"Donald J. Trump, JD Vance",2,2000000.0,2,1
"TRUMP VANCE INAUGURAL COMMITTEE, INC.","President Donald Trump, Vice President J.D. Vance",3,2000000.0,3,1
CONGRESSIONAL BLACK CAUCUS PAC - MARCUS SERVES ON THE BOARD,House Majority PAC,4,2000000.0,2,1
"TRUMP VANCE INAUGURAL COMMITTEE, INC.",President Donald J. Trump and Vice President J.D. Vance,2,2000000.0,2,1
"TRUMP VANCE INAUGURAL COMMITTEE, INC.",President Donald Trump; Vice-President JD Vance,1,2000000.0,1,1
CHC BOLD PAC,CHC BOLD PAC,439,1866293.65,412,175
DCCC,Dem Cong Camp Cmte(DCCC)-Federal Acct,107,1839500.0,85,31
EQUALITY PAC,Equality PAC,591,1780615.0,542,148
STRATEGIC VICTORY FUND IE PAC,STRATEGIC VICTORY FUND IE PAC,1,1750000.0,1,1
MCCONNELL CENTER,Senator Mitch McConnell,9,1727549.17,9,1
DSCC,Dem Sen Camp Cmte(DSCC)-Federal Acct,102,1715500.0,85,32
UNITED WE CAN,UNITED WE CAN,1,1700000.0,1,1
VARIOUS VENDORS,"Mitt Romney received an honorary degree. the amount reflects the total cost of multiple events for the 2024 commencement ( food, production, security, parking, programs, etc.)",1,1698810.06,1,1
VARIOUS VENDORS,Congressman,2,1647118.8,2,1
CONGRESSIONAL BLACK CAUCUS FOUNDATION,Members of the Congressional Black Caucus,28,1640338.0,21,1
NRCC (BUILDING FUND),NRCC (Building Fund),76,1594500.0,69,34
HMP,HMP,14,1567600.0,10,5
DEMOCRATIC NATIONAL COMMITTEE,Democratic National Committee,241,1551931.7,172,20
CATHY MCMORRIS RODGERS FOR CONGRESS,Rep. Cathy McMorris Rodgers,639,1548700.0,540,252
BLUE DOG POLITICAL ACTION COMMITTEE,Blue Dog Political Action Committee,339,1511000.0,326,155
JEFFRIES FOR CONGRESS,Hakeem Jeffries,540,1506391.77,466,140
TRUMP VANCE INAUGURAL COMMITTEE,President Donald Trump and Vice President J.D. Vance,2,1500000.0,2,1
TRUMP VANCE INAUGURAL COMMITTEE,President Donald Trump and Vice President JD Vance,3,1500000.0,2,1
STRATEGIC VICTORY FUND,Strategic Victory Fund,1,1500000.0,1,1
GUTHRIE FOR CONGRESS,Rep. Brett Guthrie,646,1491590.6600000001,544,243
JASON SMITH FOR CONGRESS,Jason Smith,638,1445625.0,550,190
DNC SERVICES CORPORATION/DEMC NATIONAL CMTE,Dem National Cmte(DNC)-Federal Acct,36,1425000.0,13,5
JASON SMITH FOR CONGRESS,Rep. Jason Smith,569,1420595.0,495,213
NRSC,Natl Rep Sen Cmte(NRSC)-Federal Acct,97,1379000.0,90,39
NRSC (BUILDING FUND),NRSC (Building Fund),76,1371000.0,66,32
VARIOUS VENDORS ASSOCIATED WITH THE WINTER COMMENCEMENT CEREMONY.,"Honorary degree in public service given to Senator Rob Portman (OH). Approximately 25,000 people attended the public ceremony, including approx. 10,000 students who received their degree in person.",2,1357317.44,2,1
"CONGRESSIONAL BLACK CAUCUS FOUNDATION, INC.","Congressional Black Caucus Foundation, Inc.",11,1250000.0,10,1
SMP,None,10,1202000.0,5,1
MODERATE DEMOCRATS PAC,Moderate Democrats PAC,278,1180700.0,272,111
EMMER FOR CONGRESS,Tom Emmer,473,1165562.79,418,155
MIKE JOHNSON FOR LOUISIANA,Rep. Mike Johnson,349,1161250.0,286,139
THE JOHN F. KENNEDY CENTER FOR THE PERFORMING ARTS,"President Donald J. Trump, Chairman; Richard Grenell, President, The John F. Kennedy Center for the Performing Arts and Presidential Envoy Special Missions The White House; Pamela Bondi, Attorney General, U.S. Department of Justice; Sergio Gor, Ambassdor, New Delhi, India, U.S. Department of State; Susie Wiles, Chief of Staff, The White House; and Dan Scavino, Deputy Chief of Staff, The White House",2,1150000.0,1,1
FF PAC,None,5,1150000.0,2,1
BIDEN VICTORY FUND,Biden Victory Fund,39,1143582.9,28,6
NRCC,Natl Rep Cong Cmte(NRCC)-Federal Acct,81,1142500.0,73,28
PETE AGUILAR FOR CONGRESS,Pete Aguilar,609,1142093.6099999999,517,150
GUTHRIE FOR CONGRESS,Brett Guthrie,538,1139651.15,464,163
KATHERINE CLARK FOR CONGRESS,Katherine Clark,517,1120556.76,461,142
DEMOCRATIC SENATORIAL CAMPAIGN COMMITTEE,DEMOCRATIC SENATORIAL CAMPAIGN COMMITTEE,54,1112500.0,47,17
VARIOUS VENDORS,"Samantha Power received an honorary degree. The amount reflects the total cost of multiple events for the 2022 commencement (food, production, security, parking, programs, etc.)",1,1098642.0,1,1
DCCC (BUILDING FUND),DCCC (Building Fund),83,1081000.0,61,28
VARIOUS VENDORS ASSOCIATED WITH RUTGERS UNIVERSITY-NEW BRUNSWICK AND RUTGERS BIO,"Dr. Alondra Nelson, Acting Director of the White House OSTP, was one of four honorary degree recipients. Approximately 20,000 people attended including 4,000 graduates and 16,000 guests.",1,1075470.32,1,1
DSCC (BUILDING FUND),DSCC (Building Fund),74,1071000.0,57,23
DSCC,Democratic Senatorial Campaign Committee,158,1060763.0,145,27
SCALISE LEADERSHIP FUND,Steve Scalise,353,1058070.21,265,47
"TRUMP VANCE INAUGURAL COMMITTEE, INC.",President Donald J. Trump and Vice President JD Vance,3,1055000.0,3,1
CAREY FOR CONGRESS,Rep. Mike Carey,645,1051600.0,535,191
"TRUMP VANCE INAUGURAL COMMITTEE, INC.",President Donald Trump and Vice President J.D. Vance,2,1050000.0,2,1
NRSC,National Republican Senatorial Committee,188,1045796.06,130,29
PETE AGUILAR FOR CONGRESS,Rep. Pete Aguilar,533,1038482.75,451,165
THE CONGRESSIONAL BLACK CAUCUS FOUNDATION INC.,Members of the Congressional Black Caucus,4,1035000.0,1,1
JOHN F. KENNEDY CENTER FOR THE PERFORMING ARTS,"Trump, Donald; Bondi, Pamela; Wiles, Susie; Scavino, Dan; Grenell, Richard; Gor, Sergio",5,1004000.0,3,1
"TRUMP VANCE INAUGURAL COMMITTEE, INC.","President Donald Trump, Vice President JD Vance",1,1000000.0,1,1
"TRUMP VANCE INAUGURAL COMMITTEE, INC.",Donald Trump/ J.D. Vance,1,1000000.0,1,1
TRUMP-VANCE INAUGURAL COMMITTEE INC,Trump-Vance Inaugural Committe Inc,1,1000000.0,1,1
"TRUMP VANCE INAUGURAL COMMITTEE, INC",Donald J Trump and JD Vance,1,1000000.0,1,1
TRUMP VANCE INAUGURAL COMMITTEE,"President Trump, Vice President Vance",1,1000000.0,1,1
"TRUMP VANCE INAUGURAL COMMITTEE, INC.",President Donald J. Trump: Honored,1,1000000.0,1,1
TRUMP VANCE INAUGURAL COMMITTEE,Donald Trump / J.D. Vance,1,1000000.0,1,1
SMITHSONIAN INSTITUTION,"Founding donor and sponsor of the design, development, and opening of the Smithsonian National Museum of American Latino. Entity controlled by covered officials. Multiple MOCs on Board of Regents.",1,1000000.0,1,1
TRUMP VANCE INAUGURAL COMMITTEE INC.,Trump Vance Inaugural Committee Inc,1,1000000.0,1,1
"TRUMP VANCE INAUGURAL COMMITTEE, INC.","Trump, Donald; Vance, JD",2,1000000.0,2,1
"TRUMP VANCE INAUGURAL COMMITTEE, INC.",President Donald J. Trump Vice President JD Vance,1,1000000.0,1,1
TRUMP-VANCE INAUGURAL COMMITTEE,"Donald Trump, JD Vance",1,1000000.0,1,1
SMITHSONIAN INSTITUTION,"Founding donor and sponsor of the design, development, and opening of the Smithsonian American Women's History Museum. Entity controlled by covered officials. Multiple MOCs on Board of Regents.",1,1000000.0,1,1
REPUBLICAN PARTY OF KENTUCKY,Mitch McConnell,1,1000000.0,1,1
"TRUMP VANCE INAUGURAL COMMITTEE, INC.",Donald Trump,1,1000000.0,1,1
PRESIDENTIAL INAUGURAL COMMITTEE,President Donald Trump and Vice President JD Vance,1,1000000.0,1,1
"TRUMP VANCE INAUGURAL COMMITTEE, INC","Trump Vance Inaugural Committee, Inc",2,1000000.0,1,1
TRUMP VANCE INAUGURAL COMMITTEE,President-elect Trump and VP-elect Vance,1,1000000.0,1,1
DONALD TRUMP PRESIDENTIAL INAUGURAL COMMITTEE,President Donald Trump,1,1000000.0,1,1
"TRUMP VANCE INAUGURAL COMMITTEE, INC. 2025","Trump Vance Inaugural Committee, Inc. 2025",1,1000000.0,1,1
TRUMP VANCE INAUGURAL COMMITTEE INC,"President Donald Trump, Vice President JD Vance",1,1000000.0,1,1
TRUMP VANCE INAUGURAL COMMITTEE,President Donald Trump,1,1000000.0,1,1
TRUMP VANCE INAUGURAL COMMITTEE INC.,President-Elect Donald J. Trump and Vice President-Elect JD Vance,1,1000000.0,1,1
"TRUMP VANCE INAUGURAL COMMITTEE, INC.",Donald Trump; JD Vance,1,1000000.0,1,1
"TRUMP VANCE INAUGURAL COMMITTEE, INC.",Donald Trump and James David Vance,2,1000000.0,2,1
TRUMP VANCE INAUGURAL COMMITTEE INC,"Trump, Donald",1,1000000.0,1,1
