general_issue_code,filing_year,filing_period,registrants,total_income,prior_income,prior_registrants,income_delta_pct,registrants_delta_pct
GOV,2025,fourth_quarter,452,45339597.0,18671639.06,418,142.8,8.1
GOV,2025,second_quarter,429,22304172.0,45339597.0,452,-50.8,-5.1
TRD,2025,fourth_quarter,1008,79667396.13,56961294.34,892,39.9,13.0
ACC,2026,first_quarter,45,1029000.0,21977000.0,70,-95.3,-35.7
CIV,2025,third_quarter,156,1962500.0,22454000.0,152,-91.3,2.6
GOV,2025,third_quarter,450,42611922.0,22304172.0,429,91.0,4.9
ECN,2026,first_quarter,195,9459495.0,29742147.0,238,-68.2,-18.1
ECN,2025,third_quarter,238,29742147.0,9569747.0,228,210.8,4.4
CON,2025,third_quarter,42,20985000.0,816000.0,40,2471.7,5.0
CON,2025,fourth_quarter,46,20951500.0,786000.0,42,2565.6,9.5
CON,2025,second_quarter,40,816000.0,20951500.0,46,-96.1,-13.0
ACC,2025,third_quarter,70,21977000.0,1847000.0,61,1089.9,14.8
CON,2026,first_quarter,34,964000.0,20985000.0,42,-95.4,-19.0
ACC,2025,fourth_quarter,64,21240000.0,1811000.0,61,1072.8,4.9
ACC,2025,second_quarter,61,1847000.0,21240000.0,64,-91.3,-4.7
CIV,2025,fourth_quarter,143,21789000.0,2822000.0,148,672.1,-3.4
GOV,2026,first_quarter,382,24210712.0,42611922.0,450,-43.2,-15.1
TRD,2025,first_quarter,892,56961294.34,44691490.03,783,27.5,13.9
NAT,2025,fourth_quarter,420,27855058.0,21297195.0,394,30.8,6.6
TAR,2025,fourth_quarter,243,10997646.0,5171073.0,186,112.7,30.6
EDU,2025,fourth_quarter,609,25897869.0,20693485.0,604,25.1,0.8
TAR,2025,first_quarter,186,5171073.0,1373729.0,83,276.4,124.1
FUE,2023,second_quarter,140,10169500.0,6376000.0,144,59.5,-2.8
PHA,2025,fourth_quarter,201,12013484.0,8458727.0,192,42.0,4.7
FUE,2023,third_quarter,143,6621997.81,10169500.0,140,-34.9,2.1
HOU,2025,fourth_quarter,307,15618232.0,12132466.0,277,28.7,10.8
UTI,2023,third_quarter,117,4799295.0,7979879.24,124,-39.9,-5.6
UTI,2023,second_quarter,124,7979879.24,5031220.0,116,58.6,6.9
VET,2022,fourth_quarter,295,8626975.0,6603221.0,260,30.6,13.5
MED,2025,fourth_quarter,200,7923000.0,6335500.0,177,25.1,13.0
SPO,2025,fourth_quarter,118,4466100.0,3184500.0,94,40.2,25.5
UTI,2025,fourth_quarter,125,6043135.0,4763452.0,115,26.9,8.7
INT,2022,second_quarter,92,3077700.0,1860050.0,80,65.5,15.0
TOU,2022,fourth_quarter,91,2449000.0,3618250.0,91,-32.3,0.0
RES,2025,fourth_quarter,129,5373000.0,4206997.0,122,27.7,5.7
TOB,2025,fourth_quarter,104,4629500.0,3489500.0,102,32.7,2.0
INT,2022,third_quarter,82,1939300.0,3077700.0,92,-37.0,-10.9
FIR,2025,fourth_quarter,57,1950500.0,813000.0,50,139.9,14.0
TOR,2023,fourth_quarter,40,977000.0,2084520.0,37,-53.1,8.1
ACC,2022,second_quarter,65,1399500.0,2456875.0,69,-43.0,-5.8
TOR,2023,first_quarter,37,2084520.0,1084000.0,44,92.3,-15.9
MIA,2022,fourth_quarter,35,2280000.0,1315000.0,29,73.4,20.7
