registrant_id,registrant_name,filings_in_window,distinct_clients,total_income,clients
401110145,ANCHOR & ARROW LLC,11,11,350000.0,"APEX TECHNOLOGY INC | OKLO INC | ICEBREAKER STRATEGIES LLC ON BEHALF OF NEROS TECHNOLOGIES | OVERLAND AI | AMERICAN PHALANX | CX2 INC | TERMINAL STATION HOLDINGS INC | EPIRUS, INC. | SARONIC TECHNOLOGIES INC | ICEBREAKER STRATEGIES LLC ON BEHALF OF VORBECK MATERIALS CORP | GALLATIN AI"
401110345,POTOMAC STRATEGIC CONSULTING LLC,14,14,210000.0,"HABITAT FOR HUMANITY INTERNATIONAL INC. | THE PASHA GROUP | PFM FINANCIAL ADVISORS | AT&T | FLORIDA COMMUNITY LOAN FUND | THE EVERGLADES TRUST, INC. | CAPITAL MAGNET FUND (AD HOC COALITION) | RADNET | THE REINALT-THOMAS CORPORATION | AMERICAN WATER WORKS SERVICE COMPANY, INC. | AMERICAN INSTITUTE OF STEEL CONSTRUCTION | PREVENTATIVE AUTOMOTIVE MAINTENANCE ASSOCIATION (PAMA) | CAPITOL COUNSEL LLC ON BEHALF OF FIRSTFLOOR | NATIONAL DISABILITY CDFI COALITION"
401110248,MAVERICK HILL PARTNERS,10,10,172000.0,"SYSTECON NORTH AMERICA | MANIFEST CYBER | CROWN POINT TECHNOLOGIES | HORIZON DEFENSE SOLUTIONS | SHIPCOM FEDERAL SOLUTIONS, LLC | SHIPCONSTRUCTOR USA | RIVERSIDE RESEARCH INSTITUTE | QLAD | DAYTON T. BROWN | PTC"
401110249,"KEAST STRATEGIC SOLUTIONS, LLC",3,3,160000.0,"HCBS ADVOCACY, LLC | UMBRA LAB, INC. | RTX CORP AND AFFILIATES"
401110186,KRESSIN POWERS LLC,1,1,150000.0,"NETFLIX, INC."
401110071,"EDWARD C. OLIVARES, LLC",3,3,90000.0,"CONSTELLIUM MUSCLE SHOALS, LLC | CONSTELLIUM ROLLED PRODUCTS RAVENSWOOD, LLC | CONSTELLIUM U.S. HOLDINGS I"
401105445,TRANSNATIONAL STRATEGY GROUP LLC,1,1,80000.0,HARTREE PARTNERS LP
401110365,ASG CORP.,2,2,70000.0,"JOSE LUIS MANZANO | J. B. POINDEXTER & CO., INC."
401110425,BOHL GOVERNMENT AFFAIRS,5,5,70000.0,"SURDEX CORPORATION | FIND SOLACE, INC. | AGRAGENE | PAYTIENT TECHNOLOGIES INC. | BIOSTL"
401110179,ADAPTIVE GOVERNMENT RELATIONS,4,4,69000.0,NATIONAL DOWN SYNDROME SOCIETY | HR HEALTHCARE | CLEVELAND CLINIC | SEATTLE CHILDREN'S
401110376,LEGACY PUBLIC POLICY,1,1,60000.0,AMERIPEN
401110435,HANBURY STRATEGY,1,1,60000.0,TWILIO
401110400,TWZ STRATEGIES LLC,1,1,60000.0,MARTI HOLDINGS LLC
401107747,ORSO GROUP,2,2,50000.0,BAY AREA COUNCIL | CALIFORNIA FOREVER
401110173,CAPITOL DOME ADVOCACY,1,1,50000.0,"AMERICAN SOCIETY OF COMPOSERS, AUTHORS, AND PUBLISHERS (ASCAP)"
