bill,senate_mentions,house_mentions,total_mentions,distinct_records
H.R5376,14777,14575,29352,18691
H.R1,12160,11412,23572,16133
H.R3684,5949,5819,11768,7913
H.R2617,4438,4402,8840,5075
S1260,3890,3755,7645,5239
H.R2670,3291,3275,6566,4829
H.R4521,3044,2941,5985,4187
H.R1319,2818,2783,5601,3857
S2587,2781,2670,5451,4183
S2226,2727,2686,5413,3952
H.R8774,2588,2577,5165,3630
H.R7900,2597,2559,5156,3818
H.R2471,2474,2453,4927,3448
H.R4016,2433,2320,4753,3355
H.R8070,2330,2330,4660,3653
S2296,2290,2151,4441,3465
H.R4365,2161,2148,4309,3157
HR1,2181,2051,4232,2919
H.R3935,2054,1990,4044,3195
S4638,1957,1958,3915,3109
S1939,1980,1927,3907,3037
H.R7024,1961,1925,3886,3629
H.R5378,1880,1866,3746,2945
H.R3838,1904,1802,3706,2922
S2572,1871,1742,3613,2575
S4921,1783,1765,3548,2562
HR5376,1784,1744,3528,2180
H.R8236,1745,1721,3466,2409
H.R4366,1727,1687,3414,2533
H.R1968,1711,1649,3360,2363
H.R8294,1553,1540,3093,2003
S2624,1400,1398,2798,2134
H.R8152,1410,1377,2787,2295
H.R4394,1355,1352,2707,2051
H.R8295,1309,1305,2614,2032
S4543,1249,1239,2488,2020
H.R9029,1225,1219,2444,1910
S3799,1149,1145,2294,1820
S4942,1141,1132,2273,1629
S2437,1119,1119,2238,1751
H.R2882,1116,1107,2223,1483
S1838,1127,1091,2218,1967
S2605,1105,1104,2209,1843
H.R6833,1101,1094,2195,1670
H.R9026,1088,1082,2170,1681
S866,1096,1067,2163,1960
S2321,1073,1074,2147,1757
H.R4820,1074,1067,2141,1587
H.R4346,1071,1060,2131,1462
S4348,1059,1050,2109,1788
H.R8467,1054,1042,2096,1820
H.R9028,1005,1011,2016,1587
S2443,992,990,1982,1564
H.R8997,978,968,1946,1576
H.R7776,970,956,1926,1553
H.R5371,1018,891,1909,1460
H.R3746,958,942,1900,1436
H.R1165,951,945,1896,1680
S1409,953,940,1893,1661
H.R2474,940,934,1874,1321
S1339,941,925,1866,1559
H.R8255,937,921,1858,1456
H.R8998,913,910,1823,1459
H.R20,932,889,1821,1702
H.R4552,961,855,1816,1344
S4663,902,898,1800,1279
H.R5304,933,852,1785,1475
HR3684,890,876,1766,1239
H.R8752,882,879,1761,1184
S127,882,864,1746,1384
H.R4821,873,872,1745,1414
S2465,911,824,1735,1288
H.R8256,858,851,1709,1417
S4796,850,858,1708,1361
H.R4368,852,848,1700,1345
H.R471,878,821,1699,1440
S2131,850,848,1698,1374
H.R4213,891,787,1678,1149
H.R4367,840,833,1673,1176
H.R3561,836,828,1664,1310
S4802,831,822,1653,1369
S4795,825,824,1649,1299
S567,826,818,1644,1554
H.R10545,823,811,1634,1210
S2354,843,778,1621,1332
H.R5894,810,801,1611,1305
S4927,802,794,1596,1306
H.R2954,792,772,1564,1157
H.R748,777,771,1548,1191
H.R3938,771,767,1538,1478
H.R3881,772,754,1526,1323
